Sector,Year,FDI(IN  Crores),FDI (IN US$ Million)
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2001,21.65,4.54
AUTOMOBILE INDUSTRY,2001,1124.34,235.76
AIR TRANSPORT (INCLUDING AIR FREIGHT),2001,0,0
SEA TRANSPORT,2001,94.47,19.81
PORTS,2001,73.82,15.48
RAILWAY RELATED COMPONENTS,2001,0,0
INDUSTRIAL MACHINERY,2001,152.8,32.04
MACHINE TOOLS,2001,20.55,4.31
AGRICULTURAL MACHINERY,2001,4.96,1.04
EARTH-MOVING MACHINERY,2001,0.52,0.11
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2001,292.82,61.4
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2001,23.23,4.87
MEDICAL AND SURGICAL APPLIANCES,2001,201.97,42.35
INDUSTRIAL INSTRUMENTS,2001,24.18,5.07
SCIENTIFIC INSTRUMENTS,2001,11.11,2.33
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2001,0,0
FERTILIZERS,2001,0,0
CHEMICALS (OTHER THAN FERTILIZERS),2001,416,87.23
PHOTOGRAPHIC RAW FILM AND PAPER,2001,0,0
DYE-STUFFS,2001,0.86,0.18
DRUGS & PHARMACEUTICALS,2001,371.7,77.94
"TEXTILES (INCLUDING DYED,PRINTED)",2001,25.18,5.28
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2001,79.64,16.7
SUGAR,2001,0,0
FERMENTATION INDUSTRIES,2001,52.65,11.04
FOOD PROCESSING INDUSTRIES,2001,1046.27,219.39
VEGETABLE OILS AND VANASPATI,2001,0,0
"SOAPS, COSMETICS & TOILET PREPARATIONS",2001,0,0
RUBBER GOODS,2001,221.23,46.39
"LEATHER,LEATHER GOODS AND PICKERS",2001,0.95,0.2
GLUE AND GELATIN,2001,4.48,0.94
GLASS,2001,39.92,8.37
CERAMICS,2001,3.72,0.78
CEMENT AND GYPSUM PRODUCTS,2001,667.18,139.9
TIMBER PRODUCTS,2001,0.24,0.05
DEFENCE INDUSTRIES,2001,0,0
CONSULTANCY SERVICES,2001,315.8,66.22
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2001,896.33,187.95
HOSPITAL & DIAGNOSTIC CENTRES,2001,33.05,6.93
EDUCATION,2001,0,0
HOTEL & TOURISM,2001,153.18,32.12
TRADING,2001,206.35,43.27
RETAIL TRADING,2001,0,0
AGRICULTURE SERVICES,2001,67.05,14.06
"DIAMOND,GOLD ORNAMENTS",2001,1.72,0.36
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2001,0.67,0.14
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2001,0,0
COIR,2001,0,0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2001,0,0
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2001,246.8,51.75
MISCELLANEOUS INDUSTRIES,2001,1055.71,221.37
METALLURGICAL INDUSTRIES,2002,177.16,36.61
MINING,2002,48.68,10.06
POWER,2002,286.03,59.11
NON-CONVENTIONAL ENERGY,2002,8.23,1.7
COAL PRODUCTION,2002,0,0
PETROLEUM & NATURAL GAS,2002,274.76,56.78
BOILERS AND STEAM GENERATING PLANTS,2002,0,0
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2002,0,0
ELECTRICAL EQUIPMENTS,2002,167.96,34.71
COMPUTER SOFTWARE & HARDWARE,2002,1520.61,314.24
ELECTRONICS,2002,1431.76,295.88
TELECOMMUNICATIONS,2002,927.15,191.6
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2002,176.62,36.5
AUTOMOBILE INDUSTRY,2002,2032.19,419.96
AIR TRANSPORT (INCLUDING AIR FREIGHT),2002,18.39,3.8
SEA TRANSPORT,2002,141.88,29.32
PORTS,2002,9.82,2.03
RAILWAY RELATED COMPONENTS,2002,2.71,0.56
INDUSTRIAL MACHINERY,2002,93.88,19.4
MACHINE TOOLS,2002,68.57,14.17
AGRICULTURAL MACHINERY,2002,65.23,13.48
EARTH-MOVING MACHINERY,2002,66.63,13.77
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2002,218.09,45.07
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2002,11.27,2.33
MEDICAL AND SURGICAL APPLIANCES,2002,104.67,21.63
INDUSTRIAL INSTRUMENTS,2002,6.34,1.31
SCIENTIFIC INSTRUMENTS,2002,0.92,0.19
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2002,0,0
FERTILIZERS,2002,79.26,16.38
CHEMICALS (OTHER THAN FERTILIZERS),2002,619.97,128.12
PHOTOGRAPHIC RAW FILM AND PAPER,2002,2.9,0.6
DYE-STUFFS,2002,0,0
DRUGS & PHARMACEUTICALS,2002,193.9,40.07
"TEXTILES (INCLUDING DYED,PRINTED)",2002,262.18,54.18
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2002,35.62,7.36
SUGAR,2002,19.21,3.97
FERMENTATION INDUSTRIES,2002,39.05,8.07
FOOD PROCESSING INDUSTRIES,2002,178.46,36.88
VEGETABLE OILS AND VANASPATI,2002,0,0
"SOAPS, COSMETICS & TOILET PREPARATIONS",2002,0,0
RUBBER GOODS,2002,79.46,16.42
"LEATHER,LEATHER GOODS AND PICKERS",2002,0.05,0.01
GLUE AND GELATIN,2002,25.26,5.22
GLASS,2002,217.66,44.98
CERAMICS,2002,1.02,0.21
CEMENT AND GYPSUM PRODUCTS,2002,102.01,21.08
TIMBER PRODUCTS,2002,0.19,0.04
DEFENCE INDUSTRIES,2002,0,0
CONSULTANCY SERVICES,2002,124.36,25.7
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2002,1433.99,296.34
HOSPITAL & DIAGNOSTIC CENTRES,2002,140.96,29.13
EDUCATION,2002,0,0
HOTEL & TOURISM,2002,163.32,33.75
TRADING,2002,184.51,38.13
RETAIL TRADING,2002,0,0
AGRICULTURE SERVICES,2002,53.28,11.01
"DIAMOND,GOLD ORNAMENTS",2002,6.29,1.3
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2002,0,0
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2002,30.49,6.3
COIR,2002,0,0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2002,0,0
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2002,174.69,36.1
MISCELLANEOUS INDUSTRIES,2002,1058.58,218.76
METALLURGICAL INDUSTRIES,2003,37.27,8.11
MINING,2003,107.89,23.48
POWER,2003,124.48,27.09
NON-CONVENTIONAL ENERGY,2003,19.02,4.14
COAL PRODUCTION,2003,0.18,0.04
PETROLEUM & NATURAL GAS,2003,370.54,80.64
BOILERS AND STEAM GENERATING PLANTS,2003,0.18,0.04
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2003,0,0
ELECTRICAL EQUIPMENTS,2003,336.35,73.2
COMPUTER SOFTWARE & HARDWARE,2003,1692.43,368.32
ELECTRONICS,2003,378.21,82.31
TELECOMMUNICATIONS,2003,397.42,86.49
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2003,63.04,13.72
AUTOMOBILE INDUSTRY,2003,547.22,119.09
AIR TRANSPORT (INCLUDING AIR FREIGHT),2003,4.32,0.94
SEA TRANSPORT,2003,100.86,21.95
PORTS,2003,534.67,116.36
RAILWAY RELATED COMPONENTS,2003,13.56,2.95
INDUSTRIAL MACHINERY,2003,14.61,3.18
MACHINE TOOLS,2003,250.47,54.51
AGRICULTURAL MACHINERY,2003,218.45,47.54
EARTH-MOVING MACHINERY,2003,0.05,0.01
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2003,104.44,22.73
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2003,47.83,10.41
MEDICAL AND SURGICAL APPLIANCES,2003,9.05,1.97
INDUSTRIAL INSTRUMENTS,2003,1.38,0.3
SCIENTIFIC INSTRUMENTS,2003,0.09,0.02
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2003,0,0
FERTILIZERS,2003,99.16,21.58
CHEMICALS (OTHER THAN FERTILIZERS),2003,93,20.24
PHOTOGRAPHIC RAW FILM AND PAPER,2003,1.1,0.24
DYE-STUFFS,2003,1.98,0.43
DRUGS & PHARMACEUTICALS,2003,500.44,108.91
"TEXTILES (INCLUDING DYED,PRINTED)",2003,42.92,9.34
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2003,32.85,7.15
SUGAR,2003,0,0
FERMENTATION INDUSTRIES,2003,7.81,1.7
FOOD PROCESSING INDUSTRIES,2003,501.87,109.22
VEGETABLE OILS AND VANASPATI,2003,7.77,1.69
"SOAPS, COSMETICS & TOILET PREPARATIONS",2003,0,0
RUBBER GOODS,2003,29.27,6.37
"LEATHER,LEATHER GOODS AND PICKERS",2003,34.69,7.55
GLUE AND GELATIN,2003,0,0
GLASS,2003,24.08,5.24
CERAMICS,2003,6.75,1.47
CEMENT AND GYPSUM PRODUCTS,2003,44.02,9.58
TIMBER PRODUCTS,2003,0.51,0.11
DEFENCE INDUSTRIES,2003,0,0
CONSULTANCY SERVICES,2003,212.29,46.2
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2003,1245.93,271.15
HOSPITAL & DIAGNOSTIC CENTRES,2003,110.65,24.08
EDUCATION,2003,0.87,0.19
HOTEL & TOURISM,2003,226.81,49.36
TRADING,2003,143,31.12
RETAIL TRADING,2003,0,0
AGRICULTURE SERVICES,2003,2.71,0.59
"DIAMOND,GOLD ORNAMENTS",2003,9.01,1.96
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2003,1.47,0.32
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2003,0,0
COIR,2003,0,0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2003,0,0
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2003,216.15,47.04
MISCELLANEOUS INDUSTRIES,2003,1082.03,235.48
METALLURGICAL INDUSTRIES,2004,900.31,200.38
MINING,2004,44.57,9.92
POWER,2004,194.86,43.37
NON-CONVENTIONAL ENERGY,2004,5.71,1.27
COAL PRODUCTION,2004,0,0
PETROLEUM & NATURAL GAS,2004,461.79,102.78
BOILERS AND STEAM GENERATING PLANTS,2004,2.43,0.54
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2004,11.95,2.66
ELECTRICAL EQUIPMENTS,2004,437.62,97.4
COMPUTER SOFTWARE & HARDWARE,2004,2371.85,527.9
ELECTRONICS,2004,395.83,88.1
TELECOMMUNICATIONS,2004,531.66,118.33
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2004,44.26,9.85
AUTOMOBILE INDUSTRY,2004,548.01,121.97
AIR TRANSPORT (INCLUDING AIR FREIGHT),2004,18.47,4.11
SEA TRANSPORT,2004,166.02,36.95
PORTS,2004,58.59,13.04
RAILWAY RELATED COMPONENTS,2004,48.3,10.75
INDUSTRIAL MACHINERY,2004,39.94,8.89
MACHINE TOOLS,2004,49.6,11.04
AGRICULTURAL MACHINERY,2004,0,0
EARTH-MOVING MACHINERY,2004,0.45,0.1
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2004,57.65,12.83
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2004,63.49,14.13
MEDICAL AND SURGICAL APPLIANCES,2004,24.04,5.35
INDUSTRIAL INSTRUMENTS,2004,4.85,1.08
SCIENTIFIC INSTRUMENTS,2004,0.13,0.03
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2004,0,0
FERTILIZERS,2004,60.48,13.46
CHEMICALS (OTHER THAN FERTILIZERS),2004,311.77,69.39
PHOTOGRAPHIC RAW FILM AND PAPER,2004,27.68,6.16
DYE-STUFFS,2004,5.3,1.18
DRUGS & PHARMACEUTICALS,2004,1318.07,293.36
"TEXTILES (INCLUDING DYED,PRINTED)",2004,193.38,43.04
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2004,12.13,2.7
SUGAR,2004,13.21,2.94
FERMENTATION INDUSTRIES,2004,624.53,139
FOOD PROCESSING INDUSTRIES,2004,197.6,43.98
VEGETABLE OILS AND VANASPATI,2004,40.84,9.09
"SOAPS, COSMETICS & TOILET PREPARATIONS",2004,4,0.89
RUBBER GOODS,2004,179.99,40.06
"LEATHER,LEATHER GOODS AND PICKERS",2004,1.98,0.44
GLUE AND GELATIN,2004,0,0
GLASS,2004,37.56,8.36
CERAMICS,2004,120.37,26.79
CEMENT AND GYPSUM PRODUCTS,2004,0.72,0.16
TIMBER PRODUCTS,2004,0.31,0.07
DEFENCE INDUSTRIES,2004,0.22,0.05
CONSULTANCY SERVICES,2004,1134.12,252.42
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2004,2049.48,456.15
HOSPITAL & DIAGNOSTIC CENTRES,2004,117.67,26.19
EDUCATION,2004,8.85,1.97
HOTEL & TOURISM,2004,166.29,37.01
TRADING,2004,63.89,14.22
RETAIL TRADING,2004,0,0
AGRICULTURE SERVICES,2004,17.21,3.83
"DIAMOND,GOLD ORNAMENTS",2004,38.55,8.58
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2004,0.04,0.01
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2004,0.27,0.06
COIR,2004,2.11,0.47
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2004,0,0
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2004,683.21,152.06
MISCELLANEOUS INDUSTRIES,2004,547.38,121.83
METALLURGICAL INDUSTRIES,2005,660.2,149.13
MINING,2005,32.76,7.4
POWER,2005,321.8,72.69
NON-CONVENTIONAL ENERGY,2005,5.98,1.35
COAL PRODUCTION,2005,40.46,9.14
PETROLEUM & NATURAL GAS,2005,53.52,12.09
BOILERS AND STEAM GENERATING PLANTS,2005,0,0
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2005,3.28,0.74
ELECTRICAL EQUIPMENTS,2005,174.87,39.5
COMPUTER SOFTWARE & HARDWARE,2005,6020.59,1359.97
ELECTRONICS,2005,181.11,40.91
TELECOMMUNICATIONS,2005,2735.8,617.98
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2005,247.6,55.93
AUTOMOBILE INDUSTRY,2005,619.47,139.93
AIR TRANSPORT (INCLUDING AIR FREIGHT),2005,45.47,10.27
SEA TRANSPORT,2005,237.42,53.63
PORTS,2005,2.21,0.5
RAILWAY RELATED COMPONENTS,2005,100.14,22.62
INDUSTRIAL MACHINERY,2005,189.48,42.8
MACHINE TOOLS,2005,101.82,23
AGRICULTURAL MACHINERY,2005,410.43,92.71
EARTH-MOVING MACHINERY,2005,225.2,50.87
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2005,226.75,51.22
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2005,113.07,25.54
MEDICAL AND SURGICAL APPLIANCES,2005,6.73,1.52
INDUSTRIAL INSTRUMENTS,2005,1.68,0.38
SCIENTIFIC INSTRUMENTS,2005,0.44,0.1
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2005,0,0
FERTILIZERS,2005,18.77,4.24
CHEMICALS (OTHER THAN FERTILIZERS),2005,1716.44,387.72
PHOTOGRAPHIC RAW FILM AND PAPER,2005,0,0
DYE-STUFFS,2005,0,0
DRUGS & PHARMACEUTICALS,2005,763.39,172.44
"TEXTILES (INCLUDING DYED,PRINTED)",2005,417.6,94.33
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2005,121.21,27.38
SUGAR,2005,13.28,3
FERMENTATION INDUSTRIES,2005,751.84,169.83
FOOD PROCESSING INDUSTRIES,2005,184.78,41.74
VEGETABLE OILS AND VANASPATI,2005,54.5,12.31
"SOAPS, COSMETICS & TOILET PREPARATIONS",2005,387.01,87.42
RUBBER GOODS,2005,150.92,34.09
"LEATHER,LEATHER GOODS AND PICKERS",2005,4.91,1.11
GLUE AND GELATIN,2005,0,0
GLASS,2005,3.59,0.81
CERAMICS,2005,25.1,5.67
CEMENT AND GYPSUM PRODUCTS,2005,2001.36,452.08
TIMBER PRODUCTS,2005,1.46,0.33
DEFENCE INDUSTRIES,2005,0,0
CONSULTANCY SERVICES,2005,209.84,47.4
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2005,2428.7,548.61
HOSPITAL & DIAGNOSTIC CENTRES,2005,144.01,32.53
EDUCATION,2005,13.99,3.16
HOTEL & TOURISM,2005,317.77,71.78
TRADING,2005,128.07,28.93
RETAIL TRADING,2005,0,0
AGRICULTURE SERVICES,2005,40.2,9.08
"DIAMOND,GOLD ORNAMENTS",2005,68.71,15.52
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2005,6.33,1.43
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2005,43.83,9.9
COIR,2005,2.61,0.59
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2005,4.12,0.93
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2005,1012.5,228.71
MISCELLANEOUS INDUSTRIES,2005,729.39,164.76
METALLURGICAL INDUSTRIES,2006,768.81,169.94
MINING,2006,29.95,6.62
POWER,2006,710.95,157.15
NON-CONVENTIONAL ENERGY,2006,11.04,2.44
COAL PRODUCTION,2006,5.88,1.3
PETROLEUM & NATURAL GAS,2006,396.8,87.71
BOILERS AND STEAM GENERATING PLANTS,2006,14.97,3.31
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2006,115.68,25.57
ELECTRICAL EQUIPMENTS,2006,347.67,76.85
COMPUTER SOFTWARE & HARDWARE,2006,11822.7,2613.33
ELECTRONICS,2006,190.64,42.14
TELECOMMUNICATIONS,2006,2155.73,476.51
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2006,342.47,75.7
AUTOMOBILE INDUSTRY,2006,1179.5,260.72
AIR TRANSPORT (INCLUDING AIR FREIGHT),2006,281.8,62.29
SEA TRANSPORT,2006,328.08,72.52
PORTS,2006,0,0
RAILWAY RELATED COMPONENTS,2006,116.81,25.82
INDUSTRIAL MACHINERY,2006,117.44,25.96
MACHINE TOOLS,2006,168.65,37.28
AGRICULTURAL MACHINERY,2006,113.96,25.19
EARTH-MOVING MACHINERY,2006,4.48,0.99
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2006,382.01,84.44
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2006,24.52,5.42
MEDICAL AND SURGICAL APPLIANCES,2006,60.76,13.43
INDUSTRIAL INSTRUMENTS,2006,0,0
SCIENTIFIC INSTRUMENTS,2006,0.32,0.07
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2006,0,0
FERTILIZERS,2006,22.67,5.01
CHEMICALS (OTHER THAN FERTILIZERS),2006,628.16,138.85
PHOTOGRAPHIC RAW FILM AND PAPER,2006,12.71,2.81
DYE-STUFFS,2006,0,0
DRUGS & PHARMACEUTICALS,2006,1014.28,224.2
"TEXTILES (INCLUDING DYED,PRINTED)",2006,574.1,126.9
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2006,22.98,5.08
SUGAR,2006,44.56,9.85
FERMENTATION INDUSTRIES,2006,124.77,27.58
FOOD PROCESSING INDUSTRIES,2006,461.45,102
VEGETABLE OILS AND VANASPATI,2006,73.38,16.22
"SOAPS, COSMETICS & TOILET PREPARATIONS",2006,27.32,6.04
RUBBER GOODS,2006,84.82,18.75
"LEATHER,LEATHER GOODS AND PICKERS",2006,37.37,8.26
GLUE AND GELATIN,2006,0,0
GLASS,2006,6.47,1.43
CERAMICS,2006,552.97,122.23
CEMENT AND GYPSUM PRODUCTS,2006,1096.93,242.47
TIMBER PRODUCTS,2006,0,0
DEFENCE INDUSTRIES,2006,0,0
CONSULTANCY SERVICES,2006,518.81,114.68
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2006,21325.14,4713.78
HOSPITAL & DIAGNOSTIC CENTRES,2006,172.55,38.14
EDUCATION,2006,189.15,41.81
HOTEL & TOURISM,2006,885.17,195.66
TRADING,2006,518.68,114.65
RETAIL TRADING,2006,0,0
AGRICULTURE SERVICES,2006,56.69,12.53
"DIAMOND,GOLD ORNAMENTS",2006,280.35,61.97
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2006,28.05,6.2
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2006,90.66,20.04
COIR,2006,0.18,0.04
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2006,289.81,64.06
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2006,6301.71,1392.95
MISCELLANEOUS INDUSTRIES,2006,1379.23,304.87
METALLURGICAL INDUSTRIES,2007,4733.57,1175.75
MINING,2007,1788.99,444.36
POWER,2007,3980.43,988.68
NON-CONVENTIONAL ENERGY,2007,236.81,58.82
COAL PRODUCTION,2007,56.69,14.08
PETROLEUM & NATURAL GAS,2007,5656.69,1405.04
BOILERS AND STEAM GENERATING PLANTS,2007,6.08,1.51
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2007,163.17,40.53
ELECTRICAL EQUIPMENTS,2007,2631.96,653.74
COMPUTER SOFTWARE & HARDWARE,2007,5564.94,1382.25
ELECTRONICS,2007,547.66,136.03
TELECOMMUNICATIONS,2007,5075.58,1260.7
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2007,1161.46,288.49
AUTOMOBILE INDUSTRY,2007,2641.46,656.1
AIR TRANSPORT (INCLUDING AIR FREIGHT),2007,398.9,99.08
SEA TRANSPORT,2007,516.78,128.36
PORTS,2007,3696.59,918.18
RAILWAY RELATED COMPONENTS,2007,49.96,12.41
INDUSTRIAL MACHINERY,2007,481.39,119.57
MACHINE TOOLS,2007,228.96,56.87
AGRICULTURAL MACHINERY,2007,27.05,6.72
EARTH-MOVING MACHINERY,2007,273.53,67.94
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2007,850.09,211.15
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2007,39.58,9.83
MEDICAL AND SURGICAL APPLIANCES,2007,53.02,13.17
INDUSTRIAL INSTRUMENTS,2007,8.98,2.23
SCIENTIFIC INSTRUMENTS,2007,0,0
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2007,5.11,1.27
FERTILIZERS,2007,7.85,1.95
CHEMICALS (OTHER THAN FERTILIZERS),2007,940.88,233.7
PHOTOGRAPHIC RAW FILM AND PAPER,2007,220.87,54.86
DYE-STUFFS,2007,22.18,5.51
DRUGS & PHARMACEUTICALS,2007,1370.25,340.35
"TEXTILES (INCLUDING DYED,PRINTED)",2007,746.42,185.4
